id,user_id,aquarium_id,param_type_name,test_kit_name,value,timestamp,note,created_on,updated_on
745,4,3,alkalinity,salifert_alkalinity,6.41,2024-09-15 21:12:00,Before water weekly water change,2024-09-16 01:45:42.430868,2024-09-16 01:46:15.322666
422,4,3,alkalinity,generic_dkh,6.9,2024-08-29 23:22:00,"",2024-09-16 01:37:50.189347,2024-09-16 01:37:50.189347
423,4,3,alkalinity,generic_dkh,6.9,2024-08-26 11:41:00,"",2024-09-16 01:37:50.323002,2024-09-16 01:37:50.323002
424,4,3,alkalinity,generic_dkh,6.5,2024-08-23 00:04:00,"",2024-09-16 01:37:50.447646,2024-09-16 01:37:50.447646
425,4,3,alkalinity,generic_dkh,6.5,2024-08-21 13:02:00,"",2024-09-16 01:37:50.572572,2024-09-16 01:37:50.572572
426,4,3,alkalinity,generic_dkh,6.7,2024-08-18 19:01:00,"",2024-09-16 01:37:50.697423,2024-09-16 01:37:50.697423
427,4,3,alkalinity,generic_dkh,6.5,2024-08-16 16:52:00,"",2024-09-16 01:37:50.82138,2024-09-16 01:37:50.82138
428,4,3,alkalinity,generic_dkh,6.4,2024-08-13 23:51:00,"",2024-09-16 01:37:50.945732,2024-09-16 01:37:50.945732
429,4,3,alkalinity,generic_dkh,6.2,2024-08-12 11:53:00,"",2024-09-16 01:37:51.070499,2024-09-16 01:37:51.070499
430,4,3,alkalinity,generic_dkh,6.7,2024-08-10 12:08:00,"",2024-09-16 01:37:51.195334,2024-09-16 01:37:51.195334
431,4,3,alkalinity,generic_dkh,6.7,2024-08-09 11:16:00,"",2024-09-16 01:37:51.32018,2024-09-16 01:37:51.32018
432,4,3,alkalinity,generic_dkh,6.1,2024-08-08 11:09:00,"",2024-09-16 01:37:51.44506,2024-09-16 01:37:51.44506
433,4,3,alkalinity,generic_dkh,6.5,2024-08-07 16:30:00,"",2024-09-16 01:37:51.569669,2024-09-16 01:37:51.569669
434,4,3,alkalinity,generic_dkh,6.5,2024-08-06 23:47:00,"",2024-09-16 01:37:51.693654,2024-09-16 01:37:51.693654
435,4,3,alkalinity,generic_dkh,7.2,2024-08-05 11:40:00,"",2024-09-16 01:37:51.817524,2024-09-16 01:37:51.817524
436,4,3,alkalinity,generic_dkh,7.0,2024-08-04 22:34:00,"",2024-09-16 01:37:51.942743,2024-09-16 01:37:51.942743
